"recipient_country","Alpha_3_code","2018","2019","2020","change_in_2020","average_2018_2019","change_from_average"
"Guinea-Bissau","GNB",9,8,9,12,8.5,6
"Guyana","GUY",16,7,1,-86,11.5,-91
"Haiti","HTI",214,73,62,-15,143.5,-57
"Honduras","HND",476,121,106,-12,298.5,-64
"India","IND",86,58,41,-29,72,-43
"Indonesia","IDN",113,74,81,9,93.5,-13
"Iraq","IRQ",77,36,23,-36,56.5,-59
"Israel","ISR",554,18,12,-33,286,-96
"Jamaica","JAM",102,50,35,-30,76,-54
"Jordan","JOR",64,46,42,-9,55,-24
"Kazakhstan","KAZ",127,83,32,-61,105,-70
"Kenya","KEN",295,181,162,-10,238,-32
"Korea (The Democratic People'S Republic Of)","PRK",6,5,3,-40,5.5,-45
"Kyrgyzstan","KGZ",78,15,5,-67,46.5,-89
"Lao People'S Democratic Republic (The)","LAO",41,34,23,-32,37.5,-39
"Lebanon","LBN",230,79,78,-1,154.5,-50
"Lesotho","LSO",37,17,17,0,27,-37
"Liberia","LBR",171,25,26,4,98,-73
"Libya","LBY",50,11,8,-27,30.5,-74
"Madagascar","MDG",12,8,9,12,10,-10
"Malawi","MWI",97,64,40,-38,80.5,-50
"Malaysia","MYS",43,15,9,-40,29,-69
"Mali","MLI",94,37,42,14,65.5,-36
"Marshall Islands (The)","MHL",8,6,8,33,7,14
"Mauritania","MRT",40,21,18,-14,30.5,-41
"Mauritius","MUS",11,5,5,0,8,-38
"Mexico","MEX",909,155,114,-26,532,-79
"Moldova (The Republic Of)","MDA",222,66,51,-23,144,-65
"Mongolia","MNG",13,20,5,-75,16.5,-70
"Montenegro","MNE",72,36,43,19,54,-20
"Morocco","MAR",201,46,33,-28,123.5,-73
"Mozambique","MOZ",126,72,76,6,99,-23
"Myanmar","MMR",69,65,32,-51,67,-52
"Namibia","NAM",26,18,10,-44,22,-55
"Nepal","NPL",63,35,16,-54,49,-67
"Nicaragua","NIC",37,12,15,25,24.5,-39
"Niger (The)","NER",84,25,33,32,54.5,-39
"Nigeria","NGA",251,85,79,-7,168,-53
"North Macedonia","MKD",103,39,39,0,71,-45
"Oman","OMN",2,9,4,-56,5.5,-27
"Pakistan","PAK",347,128,63,-51,237.5,-73
"Palestine, State Of","PSE",47,31,20,-35,39,-49
"Panama","PAN",388,95,91,-4,241.5,-62
"Papua New Guinea","PNG",15,5,3,-40,10,-70
"Paraguay","PRY",16,13,8,-38,14.5,-45
"Peru","PER",324,168,135,-20,246,-45
"Philippines (The)","PHL",122,92,65,-29,107,-39
"Rwanda","RWA",46,37,15,-59,41.5,-64
"Senegal","SEN",50,23,25,9,36.5,-32
"Serbia","SRB",113,18,19,6,65.5,-71
"Sierra Leone","SLE",37,52,35,-33,44.5,-21
"Somalia","SOM",93,56,29,-48,74.5,-61
"South Africa","ZAF",139,62,49,-21,100.5,-51
"Sri Lanka","LKA",38,9,4,-56,23.5,-83
"Sudan (The)","SDN",27,28,25,-11,27.5,-9
"Suriname","SUR",10,6,1,-83,8,-88
"Switzerland","CHE",10,12,19,58,11,73
"Syrian Arab Republic (The)","SYR",70,13,23,77,41.5,-45
"Tajikistan","TJK",150,30,17,-43,90,-81
"Tanzania, The United Republic Of","TZA",115,100,73,-27,107.5,-32
"Thailand","THA",13,11,8,-27,12,-33
"Timor-Leste","TLS",13,7,5,-29,10,-50
"Togo","TGO",17,9,4,-56,13,-69
"Trinidad And Tobago","TTO",70,16,9,-44,43,-79
"Tunisia","TUN",252,107,65,-39,179.5,-64
"Turkey","TUR",19,22,11,-50,20.5,-46
"Uganda","UGA",137,111,94,-15,124,-24
"Ukraine","UKR",395,206,111,-46,300.5,-63
"United States Of America (The)","USA",8,5,8,60,6.5,23
"Uzbekistan","UZB",41,12,8,-33,26.5,-70
"Venezuela (Bolivarian Republic Of)","VEN",6,8,2,-75,7,-71
"Viet Nam","VNM",159,95,80,-16,127,-37
"Yemen","YEM",79,39,30,-23,59,-49
"Zambia","ZMB",95,56,48,-14,75.5,-36
"Zimbabwe","ZWE",46,47,36,-23,46.5,-23
